age,workclass,fnlwgt,occupation,relationship,education,education_num,marital_status,race,sex,capital_gain,capital_loss,hours_per_week,country,salary
38, Private,127601, Handlers-cleaners, Wife, Some-college,10, Married-civ-spouse, White, Female,0,0,35, United-States, <=50K
50, Private,210217, Sales, Unmarried, Bachelors,13, Divorced, Black, Male,0,0,40, United-States, <=50K
24, State-gov,506329, Adm-clerical, Own-child, Some-college,10, Never-married, Asian-Pac-Islander, Male,0,0,40, ?, <=50K
19, Private,517036, Craft-repair, Not-in-family, HS-grad,9, Divorced, White, Female,0,0,40, El-Salvador, <=50K
28, State-gov,155397, Exec-managerial, Not-in-family, Bachelors,13, Never-married, White, Male,0,0,55, United-States, <=50K
47, Self-emp-inc,188610, Machine-op-inspct, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,48, United-States, <=50K
19, Private,418324, Sales, Own-child, Some-college,10, Never-married, White, Male,0,0,36, United-States, <=50K
57, Federal-gov,66504, Prof-specialty, Not-in-family, Prof-school,15, Divorced, White, Female,0,0,50, United-States, >50K
44, Private,111502, Sales, Wife, HS-grad,9, Married-civ-spouse, White, Female,0,0,40, United-States, <=50K
29, Private,370509, Exec-managerial, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,0,50, France, >50K
46, Private,169042, Other-service, Not-in-family, 10th,6, Never-married, White, Female,0,0,25, Ecuador, <=50K
44, Self-emp-not-inc,335183, Handlers-cleaners, Husband, 12th,8, Married-civ-spouse, Black, Male,0,0,40, United-States, >50K
47, Private,268022, Transport-moving, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,55, United-States, >50K
60, Private,83861, Handlers-cleaners, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,40, United-States, <=50K
31, State-gov,263000, Protective-serv, Husband, Assoc-voc,11, Married-civ-spouse, White, Male,0,0,38, United-States, <=50K
33, Federal-gov,293550, Tech-support, Wife, Some-college,10, Married-civ-spouse, White, Female,4064,0,40, United-States, <=50K
56, Private,193453, Prof-specialty, Husband, Bachelors,13, Married-civ-spouse, White, Male,0,1902,65, United-States, >50K
38, Private,191479, Exec-managerial, Own-child, Some-college,10, Divorced, Black, Female,0,0,40, United-States, <=50K
33, Private,203488, Sales, Not-in-family, Some-college,10, Divorced, White, Male,0,0,40, United-States, <=50K
29, Self-emp-inc,87745, Exec-managerial, Not-in-family, Some-college,10, Never-married, White, Male,0,0,60, United-States, <=50K
64, Private,477697, Exec-managerial, Husband, HS-grad,9, Married-civ-spouse, White, Male,0,0,16, United-States, <=50K
